survey1,survey_num,hhid,sector,hhsize,HHChild8,hhveh,hhmicroveh,days,day1,day2,wf1,hhSemel,Yshuvtype,Mahoz,Gizra,hhtaz,Mosad,HHType,HHMembers,year,version
bsh,1,1000060,1,2,0,1,,1,19/02/2014,,18.857559,9000,1,6,310,2382,,23,|4|3|,2014,1
bsh,1,1000150,1,3,0,1,,1,08/05/2014,,41.270985,9000,1,6,310,2377,,21,|3|3|9|,2014,1
bsh,1,1000160,1,9,1,0,,1,14/05/2014,,41.270985,9000,1,6,310,2415,,22,|3|3|4|4|4|4|4|4|4|,2014,1
bsh,1,1000180,1,2,0,0,,1,08/05/2014,,28.185598,9000,1,6,310,2415,,23,|3|4|,2014,1
bsh,1,1000230,1,2,0,1,,1,11/05/2014,,28.185598,9000,1,6,310,2415,,21,|2|2|,2014,1
bsh,1,1000270,1,8,6,0,,1,11/05/2014,,41.270985,9000,1,6,310,2415,,22,|3|3|4|4|4|4|4|4|,2014,1
bsh,1,1000320,1,3,1,1,,1,09/03/2014,,52.447647,9000,1,6,310,2415,,22,|3|3|4|,2014,1
bsh,1,1000330,1,2,0,1,,1,10/03/2014,,28.185598,9000,1,6,310,2415,,21,|2|2|,2014,1
bsh,1,1000350,1,1,0,0,,1,12/03/2014,,34.990002,9000,1,6,310,2415,,10,|1|,2014,1
bsh,1,1000360,1,1,0,0,,1,10/03/2014,,34.990002,9000,1,6,310,2415,,10,|1|,2014,1
bsh,1,1000370,1,1,0,0,,1,12/03/2014,,34.990002,9000,1,6,310,2415,,10,|1|,2014,1
bsh,1,1000380,1,1,0,0,,1,10/03/2014,,34.990002,9000,1,6,310,2415,,10,|1|,2014,1
bsh,1,1000390,1,1,0,0,,1,09/03/2014,,34.990002,9000,1,6,310,2415,,10,|1|,2014,1
bsh,1,1000400,1,1,0,0,,1,11/03/2014,,34.990002,9000,1,6,310,2415,,10,|1|,2014,1
bsh,1,1000420,1,1,0,0,,1,10/03/2014,,34.990002,9000,1,6,310,2415,,10,|1|,2014,1
bsh,1,1000440,1,1,0,0,,1,10/03/2014,,34.990002,9000,1,6,310,2415,,10,|1|,2014,1
bsh,1,1000533,3,2,0,0,,1,11/03/2014,,30.942287,9000,1,6,310,2416,,21,|2|2|,2014,1
bsh,1,1000650,1,2,0,0,,1,10/03/2014,,9.068449,9000,1,6,310,2417,,32,|7|7|,2014,1
bsh,1,1000670,1,2,0,0,,1,10/03/2014,,9.068449,9000,1,6,310,2417,,21,|2|2|,2014,1
bsh,1,1000680,1,3,0,0,,1,19/03/2014,,52.447647,9000,1,6,310,2416,,22,|3|3|4|,2014,1
bsh,1,1000720,1,3,0,0,,1,12/03/2014,,52.447647,9000,1,6,310,2416,,32,|7|7|7|,2014,1
bsh,1,1000820,1,4,0,2,,1,11/03/2014,,53.883751,9000,1,6,310,2417,,22,|4|3|3|6|,2014,1
bsh,1,1000830,1,4,1,1,,1,11/03/2014,,53.883751,9000,1,6,310,2417,,23,|3|4|4|4|,2014,1
bsh,1,1000870,1,5,0,1,,1,18/03/2014,,53.883751,9000,1,6,310,2417,,22,|3|3|4|4|4|,2014,1
bsh,1,1000940,1,2,0,0,,1,09/03/2014,,9.068449,9000,1,6,310,2417,,21,|2|2|,2014,1
bsh,1,1000950,1,2,0,0,,1,09/03/2014,,9.068449,9000,1,6,310,2417,,32,|7|7|,2014,1
bsh,1,1000970,1,2,0,1,,1,06/03/2014,,9.068449,9000,1,6,310,2417,,21,|2|2|,2014,1
bsh,1,1001030,1,2,0,1,,1,11/03/2014,,9.068449,9000,1,6,310,2417,,21,|2|2|,2014,1
bsh,1,1001040,1,1,0,0,,1,09/03/2014,,24.4,9000,1,6,310,2417,,10,|1|,2014,1
bsh,1,1001140,1,2,0,1,,1,02/03/2014,,23.457285,9000,1,6,310,2398,,21,|2|2|,2014,1
bsh,1,1001150,1,5,0,2,,1,04/03/2014,,25.348415,9000,1,6,310,2398,,22,|3|3|4|4|4|,2014,1
bsh,1,1001160,1,5,2,1,,1,26/02/2014,,25.348415,9000,1,6,310,2398,,22,|3|3|4|4|4|,2014,1
bsh,1,1001180,1,5,0,0,,1,13/03/2014,,25.348415,9000,1,6,310,2398,,22,|3|3|4|5|5|,2014,1
bsh,1,1001200,1,5,1,1,,1,03/03/2014,,25.348415,9000,1,6,310,2398,,22,|3|3|4|4|4|,2014,1
bsh,1,1001210,1,3,0,1,,1,05/03/2014,,25.348415,9000,1,6,310,2398,,23,|3|4|4|,2014,1
bsh,1,1001240,1,3,0,2,,1,26/02/2014,,25.348415,9000,1,6,310,2398,,22,|3|3|4|,2014,1
bsh,1,1001270,1,3,0,2,,1,26/02/2014,,25.348415,9000,1,6,310,2398,,22,|3|3|4|,2014,1
bsh,1,1001300,1,2,0,1,,1,18/03/2014,,19.562874,9000,1,6,310,2399,,32,|7|7|,2014,1
bsh,1,1001310,1,2,0,2,,1,06/03/2014,,19.562874,9000,1,6,310,2399,,21,|2|2|,2014,1
bsh,1,1001320,1,6,2,1,,1,24/03/2014,,43.878876,9000,1,6,310,2399,,22,|3|3|4|4|4|4|,2014,1
bsh,1,1001330,1,6,0,2,,1,12/03/2014,,43.878876,9000,1,6,310,2399,,22,|3|3|4|4|4|4|,2014,1
bsh,1,1001430,1,1,0,0,,1,13/01/2014,,37.040001,9000,1,6,310,2399,,10,|1|,2014,1
bsh,1,1001530,1,6,0,1,,1,06/03/2014,,43.878876,9000,1,6,310,2399,,22,|3|3|4|4|4|4|,2014,1
bsh,1,1001550,1,4,0,1,,1,03/03/2014,,48.813015,9000,1,6,310,2402,,22,|3|3|4|4|,2014,1
bsh,1,1001590,1,6,1,1,,1,27/02/2014,,48.813015,9000,1,6,310,2402,,22,|3|3|4|4|4|4|,2014,1
bsh,1,1001600,1,3,0,1,,1,18/03/2014,,48.813015,9000,1,6,310,2402,,22,|3|3|4|,2014,1
bsh,1,1001620,1,6,3,1,,1,05/03/2014,,48.813015,9000,1,6,310,2402,,22,|3|3|4|4|4|4|,2014,1
bsh,1,1001640,1,4,2,1,,1,02/03/2014,,48.813015,9000,1,6,310,2402,,22,|3|3|4|4|,2014,1
bsh,1,1001690,1,1,0,1,,1,13/01/2014,,43.189999,9000,1,6,310,2402,,10,|1|,2014,1
bsh,1,1001730,2,8,4,1,,1,06/01/2014,,48.813015,9000,1,6,310,2402,,22,|3|3|4|4|4|4|4|4|,2014,1
bsh,1,1001760,1,5,1,1,,1,13/01/2014,,48.813015,9000,1,6,310,2402,,22,|3|3|4|4|4|,2014,1
bsh,1,1001780,1,1,0,1,,1,13/01/2014,,43.189999,9000,1,6,310,2402,,10,|1|,2014,1
bsh,1,1001800,1,3,0,0,,1,18/03/2014,,48.813015,9000,1,6,310,2402,,23,|3|4|6|,2014,1
bsh,1,1001830,1,4,2,2,,1,06/03/2014,,48.813015,9000,1,6,310,2402,,22,|3|3|4|4|,2014,1
bsh,1,1001870,1,7,2,1,,1,23/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|4|4|4|,2014,1
bsh,1,1001880,1,5,3,1,,1,25/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|4|,2014,1
bsh,1,1001890,1,2,0,2,,1,23/02/2014,,34.472309,9000,1,6,310,2403,,23,|4|3|,2014,1
bsh,1,1002000,1,4,2,1,,1,27/01/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002010,1,4,2,1,,1,16/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002020,1,4,1,2,,1,27/01/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002050,1,4,2,1,,1,28/01/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002070,1,3,0,3,,1,30/01/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|,2014,1
bsh,1,1002080,1,4,0,2,,1,16/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002090,1,4,0,1,,1,27/01/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002100,1,3,1,1,,1,03/02/2014,,43.960041,9000,1,6,310,2403,,23,|3|4|4|,2014,1
bsh,1,1002120,1,5,3,2,,1,02/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|4|,2014,1
bsh,1,1002140,1,4,2,2,,1,02/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002150,1,3,0,1,,1,02/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|,2014,1
bsh,1,1002160,1,3,0,1,,1,11/02/2014,,43.960041,9000,1,6,310,2403,,21,|2|2|6|,2014,1
bsh,1,1002170,1,4,2,2,,1,03/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002190,1,5,1,1,,1,10/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|4|,2014,1
bsh,1,1002200,1,3,0,2,,1,16/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|,2014,1
bsh,1,1002210,1,4,2,1,,1,11/03/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002220,1,4,2,1,,1,12/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002230,1,4,2,1,,1,10/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002260,1,4,2,2,,1,17/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002270,1,4,2,1,,1,16/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002290,1,6,2,1,,1,13/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|4|4|,2014,1
bsh,1,1002300,1,2,0,1,,1,16/02/2014,,34.472309,9000,1,6,310,2403,,21,|2|2|,2014,1
bsh,1,1002320,1,4,2,1,,1,18/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002360,1,3,1,1,,1,18/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|,2014,1
bsh,1,1002370,1,4,2,1,,1,20/02/2014,,43.960041,9000,1,6,310,2403,,22,|3|3|4|4|,2014,1
bsh,1,1002410,1,2,0,1,,1,05/03/2014,,9.115689,9000,1,6,310,2408,,32,|7|7|,2014,1
bsh,1,1002420,1,1,0,0,,1,10/03/2014,,20.75,9000,1,6,310,2408,,10,|1|,2014,1
bsh,1,1002440,1,1,0,0,,1,05/03/2014,,20.75,9000,1,6,310,2408,,10,|1|,2014,1
bsh,1,1002460,1,1,0,1,,1,10/03/2014,,20.75,9000,1,6,310,2408,,10,|1|,2014,1
bsh,1,1002470,1,1,0,0,,1,05/03/2014,,20.75,9000,1,6,310,2408,,10,|1|,2014,1
bsh,1,1002490,1,2,0,0,,1,04/03/2014,,9.115689,9000,1,6,310,2408,,32,|9|9|,2014,1
bsh,1,1002500,1,1,0,0,,1,09/03/2014,,20.75,9000,1,6,310,2408,,10,|1|,2014,1
bsh,1,1002530,1,3,0,0,,1,03/03/2014,,37.85928,9000,1,6,310,2408,,32,|9|9|9|,2014,1
bsh,1,1002540,1,2,0,0,,1,05/03/2014,,9.115689,9000,1,6,310,2408,,21,|2|2|,2014,1
bsh,1,1002593,1,3,0,0,,1,27/01/2014,,37.85928,9000,1,6,310,2408,,23,|3|4|4|,2014,1
bsh,1,1002610,1,2,0,0,,1,26/01/2014,,9.115689,9000,1,6,310,2408,,23,|3|4|,2014,1
bsh,1,1002630,1,3,1,1,,1,23/01/2014,,37.85928,9000,1,6,310,2408,,22,|3|3|4|,2014,1
bsh,1,1002720,1,3,1,0,,1,19/02/2014,,47.58638,9000,1,6,310,2420,,23,|3|4|4|,2014,1
bsh,1,1002730,3,3,0,0,,1,19/02/2014,,36.297398,9000,1,6,310,2418,,32,|9|9|9|,2014,1
bsh,1,1002740,1,3,0,0,,1,19/02/2014,,36.297398,9000,1,6,310,2418,,22,|3|3|4|,2014,1
bsh,1,1002810,1,4,2,0,,1,20/02/2014,,36.297398,9000,1,6,310,2418,,23,|3|4|4|4|,2014,1
bsh,1,1002820,1,1,0,0,,1,20/02/2014,,30.450001,9000,1,6,310,2418,,10,|1|,2014,1
bsh,1,1002830,1,2,0,1,,1,26/02/2014,,18.024281,9000,1,6,310,2418,,21,|2|2|,2014,1
bsh,1,1002880,1,1,0,0,,1,20/02/2014,,30.450001,9000,1,6,310,2418,,10,|1|,2014,1
bsh,1,1002930,1,1,0,1,,1,19/02/2014,,30.215,9000,1,6,310,2419,,10,|1|,2014,1
bsh,1,1002940,1,1,0,0,,1,25/02/2014,,30.215,9000,1,6,310,2419,,10,|1|,2014,1
bsh,1,1002980,1,3,0,1,,1,23/02/2014,,40.471054,9000,1,6,310,2419,,22,|3|3|4|,2014,1
bsh,1,1002990,1,4,1,1,,1,25/02/2014,,40.471054,9000,1,6,310,2419,,22,|3|3|6|4|,2014,1
bsh,1,1003010,1,2,0,2,,1,20/02/2014,,14.44231,9000,1,6,310,2426,,21,|2|2|,2014,1
bsh,1,1003020,1,2,1,0,,1,25/02/2014,,20.667534,9000,1,6,310,2422,,23,|3|4|,2014,1
bsh,1,1003050,1,1,0,1,,1,12/03/2014,,30.215,9000,1,6,310,2419,,10,|1|,2014,1
bsh,1,1003060,1,4,0,1,,1,26/02/2014,,40.471054,9000,1,6,310,2419,,22,|3|3|4|4|,2014,1
bsh,1,1003070,1,4,0,2,,1,19/02/2014,,40.471054,9000,1,6,310,2419,,22,|3|3|4|9|,2014,1
bsh,1,1003080,1,2,0,0,,1,27/05/2014,,18.024281,9000,1,6,310,2418,,21,|2|2|,2014,1
bsh,1,1003090,1,6,0,1,,1,17/02/2014,,40.471054,9000,1,6,310,2419,,22,|3|3|4|4|4|4|,2014,1
bsh,1,1003140,1,2,0,0,,1,05/03/2014,,15.380822,9000,1,6,310,2420,,23,|3|4|,2014,1
bsh,1,1003320,1,1,0,0,,1,02/03/2014,,32.080002,9000,1,6,310,2420,,10,|1|,2014,1
bsh,1,1003330,1,2,0,0,,1,03/03/2014,,15.380822,9000,1,6,310,2420,,21,|2|2|,2014,1
bsh,1,1003350,1,3,0,1,,1,27/02/2014,,47.58638,9000,1,6,310,2420,,22,|3|3|4|,2014,1
bsh,1,1003370,1,4,0,1,,1,02/03/2014,,47.58638,9000,1,6,310,2420,,23,|4|4|3|4|,2014,1
bsh,1,1003424,1,5,1,1,,1,11/02/2014,,34.159489,9000,1,6,310,2421,,22,|3|3|4|4|4|,2014,1
bsh,1,1003460,1,4,2,1,,1,08/01/2014,,34.159489,9000,1,6,310,2421,,22,|3|3|4|4|,2014,1
bsh,1,1003481,2,5,3,1,,1,05/01/2014,,34.159489,9000,1,6,310,2421,,22,|3|3|4|4|4|,2014,1
bsh,1,1003500,1,5,3,1,,1,31/12/2013,,34.159489,9000,1,6,310,2421,,22,|3|3|4|4|4|,2013,1
bsh,1,1003510,1,7,2,1,,1,05/01/2014,,34.159489,9000,1,6,310,2421,,22,|3|3|4|4|4|3|4|,2014,1
bsh,1,1003520,1,6,4,1,,1,05/01/2014,,34.159489,9000,1,6,310,2421,,22,|3|3|4|3|4|4|,2014,1
bsh,1,1003530,1,5,3,1,,1,02/01/2014,,34.159489,9000,1,6,310,2421,,22,|3|3|4|4|4|,2014,1
bsh,1,1003540,1,3,1,0,,1,07/01/2014,,34.159489,9000,1,6,310,2421,,22,|3|3|4|,2014,1
bsh,1,1003570,1,6,2,2,,1,02/01/2014,,34.159489,9000,1,6,310,2421,,22,|3|3|3|3|4|4|,2014,1
bsh,1,1003580,1,2,0,0,,1,31/12/2013,,26.061464,9000,1,6,310,2421,,21,|2|2|,2013,1
bsh,1,1003610,1,2,0,1,,1,28/01/2014,,20.667534,9000,1,6,310,2422,,21,|2|2|,2014,1
bsh,1,1003640,1,3,0,0,,1,27/01/2014,,55.89727,9000,1,6,310,2422,,23,|3|4|4|,2014,1
bsh,1,1003680,1,2,0,0,,1,14/05/2014,,20.667534,9000,1,6,310,2422,,21,|2|2|,2014,1
bsh,1,1003700,1,1,0,0,,1,13/05/2014,,37.630001,9000,1,6,310,2422,,10,|1|,2014,1
