survey11,hhid11,vehid,Ownership,FuelCost,HomeParking,wf11,version
bsh,1090050,1,2,2,1,11.602273,1
bsh,1090050,2,1,1,1,11.602273,1
bsh,1090070,1,1,1,1,11.602273,1
bsh,1090100,1,1,1,1,11.602273,1
bsh,1090100,2,1,1,1,11.602273,1
bsh,1090130,1,1,1,1,11.602273,1
bsh,1090140,1,1,1,1,11.602273,1
bsh,1090150,1,2,2,1,11.602273,1
bsh,1090150,2,1,1,1,11.602273,1
bsh,1090190,1,2,2,2,11.602273,1
bsh,1090190,2,1,1,1,11.602273,1
bsh,1090210,1,1,1,1,11.602273,1
bsh,1090240,1,1,1,1,11.602273,1
bsh,1090270,1,2,2,1,11.602273,1
bsh,1090290,1,1,1,1,11.602273,1
bsh,1090290,2,1,1,1,11.602273,1
bsh,1090350,1,1,1,1,11.602273,1
bsh,1090380,1,1,1,1,11.602273,1
bsh,1090390,1,1,1,1,11.602273,1
bsh,1090390,2,1,1,1,11.602273,1
bsh,1090400,1,2,2,1,11.602273,1
bsh,1090400,2,1,1,1,11.602273,1
bsh,1090440,1,1,1,1,11.602273,1
bsh,1090510,1,1,1,1,11.602273,1
bsh,1090510,2,1,1,1,11.602273,1
bsh,1090510,3,1,1,1,11.602273,1
bsh,1090530,1,1,1,1,11.602273,1
bsh,1090540,1,1,1,2,11.602273,1
bsh,1090540,2,1,1,1,11.602273,1
bsh,1090550,1,1,1,1,11.602273,1
bsh,1090570,1,1,1,1,11.602273,1
bsh,114520030,1,2,2,2,8.461538,1
bsh,114520030,2,1,1,1,8.461538,1
bsh,114520050,1,1,1,1,8.461538,1
bsh,114520060,1,1,1,1,8.461538,1
bsh,114520120,1,1,1,1,8.461538,1
bsh,114520140,1,1,1,1,8.461538,1
bsh,114520240,1,1,1,1,8.461538,1
bsh,114520260,1,1,1,1,8.461538,1
bsh,114520320,1,1,1,1,8.461538,1
bsh,114520430,1,1,1,1,8.461538,1
bsh,114520440,1,1,1,1,8.461538,1
bsh,114520480,1,1,1,1,8.461538,1
bsh,114520550,1,1,1,1,8.461538,1
bsh,114520590,1,1,1,1,8.461538,1
bsh,114520590,2,1,1,1,8.461538,1
bsh,114520600,1,1,1,1,8.461538,1
bsh,114520610,1,1,1,1,8.461538,1
bsh,114520610,2,1,1,1,8.461538,1
bsh,114520650,1,1,1,1,8.461538,1
bsh,114520660,1,1,1,1,8.461538,1
bsh,114520670,1,1,1,1,8.461538,1
bsh,114520680,1,1,1,1,8.461538,1
bsh,114520710,1,1,1,1,8.461538,1
bsh,114520730,1,1,1,1,8.461538,1
bsh,114520730,2,1,1,1,8.461538,1
